location;time_of_measurement;counted_pedestrians;type;incidents
Königstraße (Mitte), Stuttgart;2020-01-06 08:54:16 +0100;25;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 08:59:12 +0100;14;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 09:04:40 +0100;4;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 09:09:52 +0100;13;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 09:14:56 +0100;15;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 09:19:38 +0100;10;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 09:24:54 +0100;14;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 09:29:51 +0100;16;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 09:34:58 +0100;15;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 09:39:48 +0100;18;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 09:44:20 +0100;21;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 09:49:50 +0100;21;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 09:50:14 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 09:54:43 +0100;35;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 09:59:44 +0100;33;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 10:04:47 +0100;17;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 10:09:36 +0100;25;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 10:14:52 +0100;24;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 10:19:58 +0100;41;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 10:24:56 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 10:24:57 +0100;26;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 10:29:59 +0100;33;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 10:31:40 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 10:34:27 +0100;36;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 10:39:56 +0100;23;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 10:44:54 +0100;45;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 10:49:55 +0100;47;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 10:53:48 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 10:54:35 +0100;33;regular;""
