location;time_of_measurement;counted_pedestrians;type;incidents
Königstraße (Mitte), Stuttgart;2019-03-09 08:00:00 +0100;317;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 09:00:00 +0100;917;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 10:00:00 +0100;2470;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 11:00:00 +0100;4524;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 12:00:00 +0100;6428;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 13:00:00 +0100;7940;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 14:00:00 +0100;9109;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 15:00:00 +0100;8675;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 16:00:00 +0100;9639;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 17:00:00 +0100;9321;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 18:00:00 +0100;8191;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 19:00:00 +0100;5922;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 20:00:00 +0100;3452;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 21:00:00 +0100;2358;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 22:00:00 +0100;2279;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 23:00:00 +0100;1811;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 00:00:00 +0100;1572;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 01:00:00 +0100;1123;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 02:00:00 +0100;943;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 03:00:00 +0100;843;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 04:00:00 +0100;531;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 05:00:00 +0100;269;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 06:00:00 +0100;165;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 07:00:00 +0100;53;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 08:00:00 +0100;83;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 09:00:00 +0100;146;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 10:00:00 +0100;249;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 11:00:00 +0100;594;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 12:00:00 +0100;956;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 13:00:00 +0100;1516;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 14:00:00 +0100;1990;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 15:00:00 +0100;2218;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 16:00:00 +0100;2338;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 17:00:00 +0100;2068;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 18:00:00 +0100;1625;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 19:00:00 +0100;966;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 20:00:00 +0100;486;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 21:00:00 +0100;344;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 22:00:00 +0100;246;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 23:00:00 +0100;145;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 00:00:00 +0100;39;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 01:00:00 +0100;39;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 02:00:00 +0100;7;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 03:00:00 +0100;12;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 04:00:00 +0100;28;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 05:00:00 +0100;78;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 06:00:00 +0100;177;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 07:00:00 +0100;492;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 08:00:00 +0100;779;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 09:00:00 +0100;913;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 10:00:00 +0100;1585;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 11:00:00 +0100;2365;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 12:00:00 +0100;3135;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 13:00:00 +0100;3390;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 14:00:00 +0100;3221;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 15:00:00 +0100;3386;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 16:00:00 +0100;3690;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 17:00:00 +0100;3417;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 18:00:00 +0100;3409;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 19:00:00 +0100;2213;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 20:00:00 +0100;1083;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 21:00:00 +0100;535;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 22:00:00 +0100;316;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 23:00:00 +0100;254;regular;""
Königstraße (Mitte), Stuttgart;2019-03-12 00:00:00 +0100;83;regular;""
Königstraße (Mitte), Stuttgart;2019-03-12 01:00:00 +0100;43;regular;""
Königstraße (Mitte), Stuttgart;2019-03-12 02:00:00 +0100;13;regular;""
Königstraße (Mitte), Stuttgart;2019-03-12 03:00:00 +0100;24;regular;""
Königstraße (Mitte), Stuttgart;2019-03-12 04:00:00 +0100;40;regular;""
Königstraße (Mitte), Stuttgart;2019-03-12 05:00:00 +0100;59;regular;""
Königstraße (Mitte), Stuttgart;2019-03-12 06:00:00 +0100;182;regular;""
Königstraße (Mitte), Stuttgart;2019-03-12 07:00:00 +0100;527;regular;""
Königstraße (Mitte), Stuttgart;2019-03-12 08:00:00 +0100;860;regular;""
Königstraße (Mitte), Stuttgart;2019-03-12 09:00:00 +0100;1113;regular;""
Königstraße (Mitte), Stuttgart;2019-03-12 10:00:00 +0100;1833;regular;""
Königstraße (Mitte), Stuttgart;2019-03-12 11:00:00 +0100;2748;regular;""
Königstraße (Mitte), Stuttgart;2019-03-12 12:00:00 +0100;3839;regular;""
Königstraße (Mitte), Stuttgart;2019-03-12 13:00:00 +0100;4182;regular;""
Königstraße (Mitte), Stuttgart;2019-03-12 14:00:00 +0100;3615;regular;""
Königstraße (Mitte), Stuttgart;2019-03-12 15:00:00 +0100;3669;regular;""
Königstraße (Mitte), Stuttgart;2019-03-12 16:00:00 +0100;4215;regular;""
Königstraße (Mitte), Stuttgart;2019-03-12 17:00:00 +0100;4477;regular;""
Königstraße (Mitte), Stuttgart;2019-03-12 18:00:00 +0100;4240;regular;""
Königstraße (Mitte), Stuttgart;2019-03-12 19:00:00 +0100;2780;regular;""
Königstraße (Mitte), Stuttgart;2019-03-12 20:00:00 +0100;1311;regular;""
Königstraße (Mitte), Stuttgart;2019-03-12 21:00:00 +0100;709;regular;""
Königstraße (Mitte), Stuttgart;2019-03-12 22:00:00 +0100;397;regular;""
Königstraße (Mitte), Stuttgart;2019-03-12 23:00:00 +0100;272;regular;""
Königstraße (Mitte), Stuttgart;2019-03-13 00:00:00 +0100;82;regular;""
Königstraße (Mitte), Stuttgart;2019-03-13 01:00:00 +0100;23;regular;""
Königstraße (Mitte), Stuttgart;2019-03-13 02:00:00 +0100;13;regular;""
Königstraße (Mitte), Stuttgart;2019-03-13 03:00:00 +0100;10;regular;""
Königstraße (Mitte), Stuttgart;2019-03-13 04:00:00 +0100;33;regular;""
Königstraße (Mitte), Stuttgart;2019-03-13 05:00:00 +0100;59;regular;""
Königstraße (Mitte), Stuttgart;2019-03-13 06:00:00 +0100;161;regular;""
Königstraße (Mitte), Stuttgart;2019-03-13 07:00:00 +0100;523;regular;""
Königstraße (Mitte), Stuttgart;2019-03-13 08:00:00 +0100;797;regular;""
Königstraße (Mitte), Stuttgart;2019-03-13 09:00:00 +0100;982;regular;""
Königstraße (Mitte), Stuttgart;2019-03-13 10:00:00 +0100;1766;regular;""
Königstraße (Mitte), Stuttgart;2019-03-13 11:00:00 +0100;2353;regular;""
Königstraße (Mitte), Stuttgart;2019-03-13 12:00:00 +0100;3233;regular;""
Königstraße (Mitte), Stuttgart;2019-03-13 13:00:00 +0100;3308;regular;""
Königstraße (Mitte), Stuttgart;2019-03-13 14:00:00 +0100;2968;regular;""
Königstraße (Mitte), Stuttgart;2019-03-13 15:00:00 +0100;3296;regular;""
Königstraße (Mitte), Stuttgart;2019-03-13 16:00:00 +0100;3829;regular;""
Königstraße (Mitte), Stuttgart;2019-03-13 17:00:00 +0100;4008;regular;""
Königstraße (Mitte), Stuttgart;2019-03-13 18:00:00 +0100;3553;regular;""
Königstraße (Mitte), Stuttgart;2019-03-13 19:00:00 +0100;2307;regular;""
Königstraße (Mitte), Stuttgart;2019-03-13 20:00:00 +0100;1076;regular;""
Königstraße (Mitte), Stuttgart;2019-03-13 21:00:00 +0100;535;regular;""
Königstraße (Mitte), Stuttgart;2019-03-13 22:00:00 +0100;255;regular;""
Königstraße (Mitte), Stuttgart;2019-03-13 23:00:00 +0100;269;regular;""
Königstraße (Mitte), Stuttgart;2019-03-14 00:00:00 +0100;120;regular;""
Königstraße (Mitte), Stuttgart;2019-03-14 01:00:00 +0100;33;regular;""
Königstraße (Mitte), Stuttgart;2019-03-14 02:00:00 +0100;12;regular;""
Königstraße (Mitte), Stuttgart;2019-03-14 03:00:00 +0100;20;regular;""
Königstraße (Mitte), Stuttgart;2019-03-14 04:00:00 +0100;51;regular;""
Königstraße (Mitte), Stuttgart;2019-03-14 05:00:00 +0100;80;regular;""
Königstraße (Mitte), Stuttgart;2019-03-14 06:00:00 +0100;141;regular;""
Königstraße (Mitte), Stuttgart;2019-03-14 07:00:00 +0100;392;regular;""
Königstraße (Mitte), Stuttgart;2019-03-14 08:00:00 +0100;772;regular;""
Königstraße (Mitte), Stuttgart;2019-03-14 09:00:00 +0100;926;regular;""
Königstraße (Mitte), Stuttgart;2019-03-14 10:00:00 +0100;1486;regular;""
Königstraße (Mitte), Stuttgart;2019-03-14 11:00:00 +0100;1977;regular;""
Königstraße (Mitte), Stuttgart;2019-03-14 12:00:00 +0100;2379;regular;""
